"","bl","lec","nest","soc","ori"
"Bombusvariabilis",3.04452243772342,"0","3","4",0
"Calliopsisandreniformis",2.03470564783844,"1","1","2",0
"Cemolobusipomoeae",2.68307421503203,"2","1","2",0
"Ceratinacalcarata",2.03208784529637,"1","4","1",0
"Ceratinadupla",2.04769284336526,"1","4","1",0
"Ceratinamikmaqi",2.01490302054226,"1","4","1",0
"Ceratinastrenua",1.83258146374831,"1","4","1",0
"Chelostomaphiladelphi",2.11021320034659,"2","2","2",0
"Coelioxysalternatus",2.56494935746154,"0","2","4",0
"Coelioxysbanksi",2.484906649788,"0","2","4",0
"Coelioxysgermanus",2.49568172295596,"0","2","4",0
"Coelioxysmodestus",2.39789527279837,"0","2","4",0
"Coelioxysoctodentatus",2.32727770558442,"0","2","4",0
"Coelioxysrufitarsis",2.65675690671466,"0","2","4",0
"Coelioxyssayi",2.40964416528745,"0","2","4",0
"Colletesaestivalis",2.42036812865043,"2","1","2",0
"Colletesamericanus",2.39789527279837,"2","1","2",0
"Colletescompactus",2.46385324059017,"2","1","2",0
"Colleteseulophi",2.30258509299405,"1","1","2",0
"Colletesinaequalis",2.484906649788,"1","1","2",0
"Colleteskincaidii",2.30258509299405,"1","1","2",0
"Colleteslatitarsis",2.37490575457367,"2","1","2",0
"Colletesmandibularis",2.22462355152433,"1","1","2",0
"Colletesnudus",2.46385324059017,"1","1","2",0
"Colletessimulans",2.35137525716348,"2","1","2",0
"Colletesthoracicus",2.58399755243223,"1","1","2",0
"Colleteswillistoni",2.2512917986065,"2","1","2",0
"Dieunomiaheteropoda",2.89037175789616,"2","1","1",0
"Dufoureanovaeangliae",2.2512917986065,"2","1","2",0
"Epeoloidespilosulus",2.2512917986065,"0","1","4",0
"Epeolusautumnalis",2.32727770558442,"0","1","4",0
"Epeolusbifasciatus",2.19722457733622,"0","1","4",0
"Epeoluslectoides",2.30258509299405,"0","1","4",0
"Epeolusscutellaris",2.35137525716348,"0","1","4",0
"Euceraatriventris",2.71667952780026,"1","1","2",0
"Euceradubitata",2.65675690671466,"1","1","2",0
"Eucerahamata",2.78809290877575,"1","1","2",0
"Eucerarosae",2.63905732961526,"1","1","2",0
"Habropodalaboriosa",2.74919214443339,"2","1","2",0
"Halictusconfusus",2.07944154167984,"1","1","1",0
"Halictusligatus",2.2512917986065,"1","1","3",0
"Halictusparallelus",2.52572864430826,"1","1","3",0
"Halictusrubicundus",2.4423470353692,"1","1","1",0
"Heriadescarinata",1.98375629154543,"1","2","2",0
"Heriadesvariolosa",1.85159946958407,"1","2","2",0
"Holcopasitescalliopsidis",1.87180217690159,"0","1","4",0
"Holcopasitesillinoiensis",1.79175946922805,"0","1","4",0
"Hoplitispilosifrons",2.15524450509534,"1","4","2",0
"Hoplitisproducta",2.11021320034659,"1","4","2",0
"Hoplitisspoliata",2.46385324059017,"1","4","2",0
"Hoplitistruncata",2.26488322581003,"1","4","2",0
"Hylaeusaffinismodestus",1.90061387414014,"1","2","2",0
"Hylaeusannulatus",1.90954250488444,"1","2","2",0
"Hylaeusfedorica",1.63413052502447,"1","2","2",0
"Hylaeushyalinatus",1.93007108502557,"1","2","2",1
"Hylaeusillinoisensis",1.94591014905531,"1","2","2",0
"Hylaeusleptocephalus",1.83258146374831,"1","2","2",1
"Hylaeusmesillae",1.58412010444981,"1","2","2",0
"Hylaeusnelumbonis",2.04769284336526,"1","2","2",0
"Hylaeuspictipes",1.67709656090792,"1","2","2",1
"Hylaeussaniculae",1.55814461804655,"1","2","2",0
"Lasioglossumabanci",1.94591014905531,"1","1","3",0
"Lasioglossumadmirandum",1.83258146374831,"1","1","3",0
"Lasioglossumalbipenne",1.90954250488444,"1","1","3",0
"Lasioglossumanomalum",1.6094379124341,"1","1",NA,0
"Lasioglossumapocyni",1.79175946922805,"1","1","3",0
"Lasioglossumathabascense",2.14006616349627,"1","1","1",0
"Lasioglossumbirkmanni",1.82454929205105,"1","1","2",0
"Lasioglossumbruneri",2.01490302054226,"1","1","3",0
"Lasioglossumcallidum",1.95302761682418,"1","1","3",0
"Lasioglossumcattellae",1.76900248210544,"1","1","3",0
"Lasioglossumcinctipes",2.19722457733622,"1","1","3",0
"Lasioglossumcoeruleum",2.07944154167984,"1","5","3",0
"Lasioglossumcoreopsis",1.6094379124341,"1","1","3",0
"Lasioglossumcoriaceum",2.22462355152433,"1","1","1",0
"Lasioglossumcressonii",1.98100146886658,"1","5","3",0
"Lasioglossumellisiae",1.7263316639056,"1","1",NA,0
"Lasioglossumephialtum",1.85629799036563,"1","1",NA,0
"Lasioglossumforbesii",2.22462355152433,"1","1","1",0
"Lasioglossumfoxii",1.94591014905531,"1","1","2",0
"Lasioglossumfuscipenne",2.2512917986065,"1","1","1",0
"Lasioglossumgotham",1.93296963777958,"1","1","3",0
"Lasioglossumheterognathus",1.82857344235077,"1","1","3",0
"Lasioglossumhitchensi",1.75267208052001,"1","1","3",0
"Lasioglossumillinoense",1.74919985480926,"1","1","3",0
"Lasioglossumimitatum",1.65345479785087,"1","1","3",0
"Lasioglossumlaevissimum",1.94591014905531,"1","1","3",0
"Lasioglossumleucocomus",1.80170980008122,"1","1","3",0
"Lasioglossumleucozonium",2.16905370036952,"1","1","1",0
"Lasioglossumlineatulum",1.94591014905531,"1","1","3",0
"Lasioglossumlionotus",1.58412010444981,"1","1","4",0
"Lasioglossumlustrans",2.07944154167984,"2","1","1",0
"Lasioglossummacoupinense",1.87180217690159,"1","1","2",0
"Lasioglossummichiganense",1.8961194845523,"1","1","4",0
"Lasioglossumnelumbonis",2.14006616349627,"1","1","2",0
"Lasioglossumnigroviride",2.07944154167984,"1","1","3",0
"Lasioglossumoblongum",1.90731780986233,"1","5","3",0
"Lasioglossumobscurum",1.87487437593856,"1","1","3",0
"Lasioglossumoceanicum",2.01223279198639,"1","1","3",0
"Lasioglossumparadmirandum",1.8679486075856,"1","1","3",0
"Lasioglossumparaforbesii",2.41143949790613,"1","1","1",0
"Lasioglossumpectinatum",2.2512917986065,"2","1","2",0
"Lasioglossumpectorale",1.87180217690159,"1","1","2",0
"Lasioglossumperpunctatum",1.87180217690159,"1","1","3",0
"Lasioglossumpilosum",1.94591014905531,"1","1","3",0
"Lasioglossumquebecense",2.07944154167984,"2","1","1",0
"Lasioglossumrozeni",1.84213567655312,"1","1","4",0
"Lasioglossumsmilacinae",2.02814824729229,"1","1",NA,0
"Lasioglossumsubviridatum",1.91839212016142,"1","5","3",0
"Lasioglossumtegulare",1.79175946922805,"1","1",NA,0
"Lasioglossumtruncatum",2.34468626901268,"2","1","3",0
"Lasioglossumversans",1.87180217690159,"1","1","3",0
"Lasioglossumversatum",1.92861865194525,"1","1","3",0
"Lasioglossumvierecki",1.6094379124341,"1","1","3",0
"Lasioglossumviridatum",1.83258146374831,"1","1","3",0
"Lasioglossumweemsi",1.71739505393919,"1","1","3",0
"Lasioglossumzephyrus",1.96571277635149,"1","1","3",0
"Lasioglossumzonulum",2.14006616349627,"1","1",NA,0
"Macropisciliata",2.14006616349627,"2","1","2",0
"Megachileaddenda",2.56494935746154,"1","1","2",0
"Megachileapicalis",2.14006616349627,"1","2","2",1
"Megachilebrevis",2.32727770558442,"1","2","2",0
"Megachilecampanulae",2.35137525716348,"1","2","2",0
"Megachilecentuncularis",2.35137525716348,"1","2","2",1
"Megachileexilis",2.2512917986065,"1","2","2",0
"Megachilefrigida",2.65675690671466,"1","2","2",0
"Megachilefrugalis",2.52572864430826,"1","2","2",0
"Megachilegemula",2.52572864430826,"1","2","2",0
"Megachileinimica",2.67414864942653,"2","2","2",0
"Megachileintegra",2.54553127160444,"2","1","2",0
"Megachilelatimanus",2.63905732961526,"1","1","2",0
"Megachilemendica",2.4423470353692,"1","2","2",0
"Megachilemontivaga",2.484906649788,"1","2","2",0
"Megachilemucida",2.60268968544438,"1","1","2",0
"Megachilepetulans",2.4423470353692,"1","2","2",0
"Megachilepugnata",2.67414864942653,"2","2","2",0
"Megachilepusilla",2.07944154167984,"1","2","2",0
"Megachilerelativa",2.37490575457367,"1","2","2",0
"Megachilerotundata",2.19722457733622,"1","2","2",1
"Megachilerugifrons",2.54553127160444,"1","2","2",0
"Megachilesculpturalis",3.10234200861225,"1","2","2",1
"Megachiletexana",2.54553127160444,"1","2","2",0
"Megachilexylocopoides",2.63905732961526,"2","2","2",0
"Melectapacifica",2.58399755243223,"0","1","4",0
"Melissodesagilis",2.5360749363624,"2","1","2",0
"Melissodesbimaculatus",2.63905732961526,"1","1","2",0
"Melissodescoloradensis",2.78068089213712,"2","1","2",0
"Melissodesdenticulatus",2.40964416528745,"2","1","2",0
"Melissodesdentiventris",2.55567572067621,"2","1","2",0
"Melissodesdesponsus",2.60268968544438,"2","1","2",0
"Melissodesdruriellus",2.35137525716348,"2","1","2",0
"Melissodesniveus",2.37490575457367,"2","1","2",0
"Melissodessubillatus",2.46385324059017,"2","1","2",0
"Melissodestinctus",2.39789527279837,"2","1","2",0
"Melissodestrinodis",2.46385324059017,"2","1","2",0
"Melissodeswheeleri",2.3869262414278,"2","1","2",0
"Melitomataurea",2.484906649788,"2","1","2",0
"Nomadaaffabilis",2.47317139356958,"0","1","4",0
"Nomadaannulata",2.22462355152433,"0","1","4",0
"Nomadaarticulata",2.27726728500976,"0","1","4",0
"Nomadaaustralis",2.16905370036952,"0","1","4",0
"Nomadabella",2.28949985344539,"0","1","4",0
"Nomadabethunei",2.35137525716348,"0","1","4",0
"Nomadacressonii",2.2512917986065,"0","1","4",0
"Nomadacuneata",2.11021320034659,"0","1","4",0
"Nomadadenticulata",2.16905370036952,"0","1","4",0
"Nomadadepressa",2.30258509299405,"0","1","4",0
"Nomadafervida",2.39789527279837,"0","1","4",0
"Nomadafragariae",2.37490575457367,"0","1","4",0
"Nomadahydrophylli",2.23857976301813,"0","1","4",0
"Nomadaillinoensis",1.98100146886658,"0","1","4",0
"Nomadaimbricata",2.35137525716348,"0","1","4",0
"Nomadalehighensis",2.11021320034659,"0","1","4",0
"Nomadalepida",2.19722457733622,"0","1","4",0
"Nomadaluteola",2.50552593699074,"0","1","4",0
"Nomadaluteoloides",2.23001440015921,"0","1","4",0
"Nomadamaculata",2.35137525716348,"0","1","4",0
"Nomadaobliterata",2.18380155700408,"0","1","4",0
"Nomadaovata",2.19722457733622,"0","1","4",0
"Nomadaparva",1.83258146374831,"0","1","4",0
"Nomadaperplexa",2.19722457733622,"0","1","4",0
"Nomadaplacida",2.11021320034659,"0","1","4",0
"Nomadapygmaea",2.12584791449399,"0","1","4",0
"Nomadarubicunda",2.26488322581003,"0","1","4",0
"Nomadasayi",2.01490302054226,"0","1","4",0
"Nomadasulphurata",2.42036812865043,"0","1","4",0
"Nomadasuperba",2.484906649788,"0","1","4",0
"Nomadatiftonensis",2.07944154167984,"0","1","4",0
"Nomadavegana",2.14006616349627,"0","1","4",0
"Nomadavicina",2.27726728500976,"0","1","4",0
"Osmiaalbiventris",2.22462355152433,"1","2","2",0
"Osmiaatriventris",2.16905370036952,"1","2","2",0
"Osmiabucephala",2.7408400239252,"1","2","2",0
"Osmiacaerulescens",2.37490575457367,"1","2","2",1
"Osmiaconjuncta",2.30258509299405,"1","2","2",0
"Osmiacordata",2.42036812865043,"1","2","2",0
"Osmiacornifrons",2.51769647261099,"1","2","2",1
"Osmiadistincta",2.22462355152433,"2","2","2",0
"Osmiageorgica",2.22462355152433,"1","2","2",0
"Osmiainspergens",2.37490575457367,"1","2","2",0
"Osmialignaria",2.39789527279837,"1","2","2",0
"Osmiapumila",2.16905370036952,"1","2","2",0
"Osmiasimillima",2.50552593699074,"1","2","2",0
"Osmiasubfasciata",2.14006616349627,"1","2","2",0
"Osmiataurus",2.4932054526027,"1","2","2",1
"Osmiatexana",2.4423470353692,"2","2","2",0
"Paranthidiumjugatorium",2.22462355152433,"2","1","2",0
"Peponapispruinosa",2.61227324570844,"2","1","2",0
"Perditamaculigera",1.90954250488444,"2","1","2",0
"Perditaoctomaculata",2.01490302054226,"2","1","2",0
"Pseudoanthidiumnanum",2.14006616349627,"1","2","2",1
"Pseudopanurgusaestivalis",2.00148000021012,"2","1","2",0
"Pseudopanurgusandrenoides",1.94591014905531,"2","1","2",0
"Pseudopanurguscompositarum",2.01490302054226,"2","1","2",0
"Pseudopanurguslabrosus",1.94591014905531,"2","1","2",0
"Pseudopanurguspassiflorae",2.07944154167984,"2","1","2",0
"Pseudopanurgusrugosus",2.01490302054226,"2","1","2",0
"Ptilothrixbombiformis",2.78068089213712,"2","1","2",0
"Sphecodesaroniae",2.32727770558442,"0","1","4",0
"Sphecodesatlantis",1.88706964903238,"0","1","4",0
"Sphecodesbanksii",1.6094379124341,"0","1","4",0
"Sphecodesclematidis",2.14006616349627,"0","1","4",0
"Sphecodesconfertus",2.19722457733622,"0","1","4",0
"Sphecodescoronus",1.79175946922805,"0","1","4",0
"Sphecodescressonii",1.83258146374831,"0","1","4",0
"Sphecodesdavisii",2.39789527279837,"0","1","4",0
"Sphecodesdichrous",2.32727770558442,"0","1","4",0
"Sphecodesheraclei",2.07944154167984,"0","1","4",0
"Sphecodeslevis",1.87180217690159,"0","1","4",0
"Sphecodesmandibularis",2.07317192866624,"0","1","4",0
"Sphecodesminor",2.05412373369555,"0","1","4",0
"Sphecodespimpinellae",2.07944154167984,"0","1","4",0
"Sphecodesprosphorus",2.32238772029023,"0","1","4",0
"Sphecodesranunculi",2.14006616349627,"0","1","4",0
"Steliscoarctatus",2.04122032885964,"1","2","4",0
"Stelislateralis",1.94591014905531,"1","2","4",0
"Stelislouisae",2.19722457733622,"1","2","4",0
"Stelisnitida",2.36368019235386,"1","2","4",0
"Svastraobliqua",2.78809290877575,"2","1","2",0
"Triepeolusdonatus",2.52572864430826,"0","1","4",0
"Triepeoluslunatus",2.484906649788,"0","1","4",0
"Triepeoluspectoralis",2.39789527279837,"0","1","4",0
"Triepeolusremigatus",2.70805020110221,"0","1","4",0
"Triepeolussimplex",2.56494935746154,"0","1","4",0
"Xenoglossastrenua",2.79606107842492,"2","1","2",0
"Xylocopavirginica",3.04452243772342,"1","5","1",0
