,bl,lec,nest,soc,ori
Euceraatriventris,2.716679528,1,1,2,0
Euceradubitata,2.656756907,1,1,2,0
Eucerahamata,2.788092909,1,1,2,0
Habropodalaboriosa,2.749192144,2,1,2,0
Halictusconfusus,2.079441542,1,1,1,0
Halictusligatus,2.251291799,1,1,3,0
Halictusparallelus,2.525728644,1,1,3,0
Halictusrubicundus,2.442347035,1,1,1,0
Heriadescarinata,1.983756292,1,2,2,0
Heriadesvariolosa,1.85159947,1,2,2,0
Holcopasitescalliopsidis,1.871802177,0,1,4,0
Hoplitispilosifrons,2.155244505,1,4,2,0
Hoplitisspoliata,2.463853241,1,4,2,0
Hoplitistruncata,2.264883226,1,4,2,0
Hylaeusaffinismodestus,1.900613874,1,2,2,0
Hylaeusannulatus,1.909542505,1,2,2,0
Hylaeusfedorica,1.634130525,1,2,2,0
Hylaeushyalinatus,1.930071085,1,2,2,1
Hylaeusillinoisensis,1.945910149,1,2,2,0
Hylaeusleptocephalus,1.832581464,1,2,2,1
Hylaeusmesillae,1.584120104,1,2,2,0
Hylaeusnelumbonis,2.047692843,1,2,2,0
Hylaeussaniculae,1.558144618,1,2,2,0
Lasioglossumabanci,1.945910149,1,1,3,0
Lasioglossumadmirandum,1.832581464,1,1,3,0
Lasioglossumalbipenne,1.909542505,1,1,3,0
Lasioglossumanomalum,1.609437912,1,1,NA,0
Lasioglossumathabascense,2.140066163,1,1,1,0
Lasioglossumbirkmanni,1.824549292,1,1,2,0
Lasioglossumbruneri,2.014903021,1,1,3,0
Lasioglossumcallidum,1.953027617,1,1,3,0
Lasioglossumcattellae,1.769002482,1,1,3,0
Lasioglossumcinctipes,2.197224577,1,1,3,0
Lasioglossumcoeruleum,2.079441542,1,5,3,0
Lasioglossumcoreopsis,1.609437912,1,1,3,0
Lasioglossumcoriaceum,2.224623552,1,1,1,0
Lasioglossumcressonii,1.981001469,1,5,3,0
Lasioglossumellisiae,1.726331664,1,1,NA,0
Lasioglossumephialtum,1.85629799,1,1,NA,0
Lasioglossumforbesii,2.224623552,1,1,1,0
Lasioglossumfoxii,1.945910149,1,1,2,0
Lasioglossumfuscipenne,2.251291799,1,1,1,0
Lasioglossumgotham,1.932969638,1,1,3,0
Lasioglossumheterognathus,1.828573442,1,1,3,0
Lasioglossumhitchensi,1.752672081,1,1,3,0
Lasioglossumillinoense,1.749199855,1,1,3,0
Lasioglossumimitatum,1.653454798,1,1,3,0
Lasioglossumlaevissimum,1.945910149,1,1,3,0
Lasioglossumleucocomus,1.8017098,1,1,3,0
Lasioglossumleucozonium,2.1690537,1,1,1,0
Lasioglossumlineatulum,1.945910149,1,1,3,0
Lasioglossumlionotus,1.584120104,1,1,4,0
Lasioglossumlustrans,2.079441542,2,1,1,0
Lasioglossummacoupinense,1.871802177,1,1,2,0
Lasioglossummichiganense,1.896119485,1,1,4,0
Lasioglossumnelumbonis,2.140066163,1,1,2,0
Lasioglossumnigroviride,2.079441542,1,1,3,0
Lasioglossumoblongum,1.90731781,1,5,3,0
Lasioglossumobscurum,1.874874376,1,1,3,0
Lasioglossumoceanicum,2.012232792,1,1,3,0
Lasioglossumparadmirandum,1.867948608,1,1,3,0
Lasioglossumparaforbesii,2.411439498,1,1,1,0
Lasioglossumpectorale,1.871802177,1,1,2,0
Lasioglossumperpunctatum,1.871802177,1,1,3,0
Lasioglossumpilosum,1.945910149,1,1,3,0
Lasioglossumquebecense,2.079441542,2,1,1,0
Lasioglossumsmilacinae,2.028148247,1,1,NA,0
Lasioglossumsubviridatum,1.91839212,1,5,3,0
Lasioglossumtegulare,1.791759469,1,1,NA,0
Lasioglossumtruncatum,2.344686269,2,1,3,0
Lasioglossumversans,1.871802177,1,1,3,0
Lasioglossumversatum,1.928618652,1,1,3,0
Lasioglossumvierecki,1.609437912,1,1,3,0
Lasioglossumviridatum,1.832581464,1,1,3,0
Lasioglossumweemsi,1.717395054,1,1,3,0
Lasioglossumzephyrus,1.965712776,1,1,3,0
Lasioglossumzonulum,2.140066163,1,1,NA,0
Megachileaddenda,2.564949357,1,1,2,0
Megachileapicalis,2.140066163,1,2,2,1
Megachilebrevis,2.327277706,1,2,2,0
Megachilecampanulae,2.351375257,1,2,2,0
Megachilecentuncularis,2.351375257,1,2,2,1
Megachilefrigida,2.656756907,1,2,2,0
Megachilefrugalis,2.525728644,1,2,2,0
Megachilegemula,2.525728644,1,2,2,0
Megachileinimica,2.674148649,2,2,2,0
Megachilelatimanus,2.63905733,1,1,2,0
Megachilemendica,2.442347035,1,2,2,0
Megachilemontivaga,2.48490665,1,2,2,0
Megachilemucida,2.602689685,1,1,2,0
Megachilepetulans,2.442347035,1,2,2,0
Megachilepugnata,2.674148649,2,2,2,0
Megachilepusilla,2.079441542,1,2,2,0
Megachilerelativa,2.374905755,1,2,2,0
Megachilerotundata,2.197224577,1,2,2,1
Megachilerugifrons,2.545531272,1,2,2,0
Megachilesculpturalis,3.102342009,1,2,2,1
Megachiletexana,2.545531272,1,2,2,0
Melissodesagilis,2.536074936,2,1,2,0
Melissodesbimaculatus,2.63905733,1,1,2,0
Melissodesdenticulatus,2.409644165,2,1,2,0
Melissodesdentiventris,2.555675721,2,1,2,0
Melissodesdesponsus,2.602689685,2,1,2,0
Melissodesdruriellus,2.351375257,2,1,2,0
Melissodesniveus,2.374905755,2,1,2,0
Melissodessubillatus,2.463853241,2,1,2,0
Melissodestinctus,2.397895273,2,1,2,0
Melissodestrinodis,2.463853241,2,1,2,0
Melissodeswheeleri,2.386926241,2,1,2,0
Nomadaarticulata,2.277267285,0,1,4,0
Nomadaaustralis,2.1690537,0,1,4,0
Nomadabella,2.289499853,0,1,4,0
Nomadabethunei,2.351375257,0,1,4,0
Nomadacressonii,2.251291799,0,1,4,0
Nomadacuneata,2.1102132,0,1,4,0
Nomadadenticulata,2.1690537,0,1,4,0
Nomadadepressa,2.302585093,0,1,4,0
Nomadafervida,2.397895273,0,1,4,0
Nomadaillinoensis,1.981001469,0,1,4,0
Nomadaimbricata,2.351375257,0,1,4,0
Nomadalehighensis,2.1102132,0,1,4,0
Nomadalepida,2.197224577,0,1,4,0
Nomadaluteoloides,2.2300144,0,1,4,0
Nomadamaculata,2.351375257,0,1,4,0
Nomadaobliterata,2.183801557,0,1,4,0
Nomadaovata,2.197224577,0,1,4,0
Nomadaparva,1.832581464,0,1,4,0
Nomadaperplexa,2.197224577,0,1,4,0
Nomadaplacida,2.1102132,0,1,4,0
Nomadapygmaea,2.125847914,0,1,4,0
Nomadarubicunda,2.264883226,0,1,4,0
Nomadasayi,2.014903021,0,1,4,0
Nomadasuperba,2.48490665,0,1,4,0
Nomadatiftonensis,2.079441542,0,1,4,0
Nomadavegana,2.140066163,0,1,4,0
Nomadavicina,2.277267285,0,1,4,0
Osmiaalbiventris,2.224623552,1,2,2,0
Osmiaatriventris,2.1690537,1,2,2,0
Osmiabucephala,2.740840024,1,2,2,0
Osmiacaerulescens,2.374905755,1,2,2,1
Osmiaconjuncta,2.302585093,1,2,2,0
Osmiacornifrons,2.517696473,1,2,2,1
Osmiadistincta,2.224623552,2,2,2,0
Osmiageorgica,2.224623552,1,2,2,0
Osmiainspergens,2.374905755,1,2,2,0
Osmialignaria,2.397895273,1,2,2,0
Osmiapumila,2.1690537,1,2,2,0
Osmiasimillima,2.505525937,1,2,2,0
Osmiataurus,2.493205453,1,2,2,1
Osmiatexana,2.442347035,2,2,2,0
Peponapispruinosa,2.612273246,2,1,2,0
Perditamaculigera,1.909542505,2,1,2,0
Perditaoctomaculata,2.014903021,2,1,2,0
Pseudopanurgusaestivalis,2.00148,2,1,2,0
Pseudopanurgusandrenoides,1.945910149,2,1,2,0
Pseudopanurguscompositarum,2.014903021,2,1,2,0
Pseudopanurgusrugosus,2.014903021,2,1,2,0
Sphecodesaroniae,2.327277706,0,1,4,0
Sphecodesatlantis,1.887069649,0,1,4,0
Sphecodesbanksii,1.609437912,0,1,4,0
Sphecodesclematidis,2.140066163,0,1,4,0
Sphecodesconfertus,2.197224577,0,1,4,0
Sphecodescoronus,1.791759469,0,1,4,0
Sphecodescressonii,1.832581464,0,1,4,0
Sphecodesdavisii,2.397895273,0,1,4,0
Sphecodesdichrous,2.327277706,0,1,4,0
Sphecodesheraclei,2.079441542,0,1,4,0
Sphecodeslevis,1.871802177,0,1,4,0
Sphecodesmandibularis,2.073171929,0,1,4,0
Sphecodesminor,2.054123734,0,1,4,0
Sphecodespimpinellae,2.079441542,0,1,4,0
Sphecodesprosphorus,2.32238772,0,1,4,0
Sphecodesranunculi,2.140066163,0,1,4,0
Steliscoarctatus,2.041220329,1,2,4,0
Stelislateralis,1.945910149,1,2,4,0
Stelislouisae,2.197224577,1,2,4,0
Stelisnitida,2.363680192,1,2,4,0
Svastraobliqua,2.788092909,2,1,2,0
Triepeolusdonatus,2.525728644,0,1,4,0
Triepeoluslunatus,2.48490665,0,1,4,0
Triepeoluspectoralis,2.397895273,0,1,4,0
Triepeolusremigatus,2.708050201,0,1,4,0
Triepeolussimplex,2.564949357,0,1,4,0
Xylocopavirginica,3.044522438,1,5,1,0
