"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-2.38955793419757,-0.944604103422549,1.97387070018339,-1.4693097182593,-1.15058250810756,1.15058250810757,0.680442565221803,-0.688572855482488,-0.586006994875044,0.246981924638694,0.398782943388711,1.62455310373944,-1.26287611489119,1.88547876942856,-1.20656225579643,-27.8228044391202,-43.1254401436756,24.0124795721536,4.82647949514191,0.580217394130086,3.14448692856509
"BluePike",-1.42790759250109,-3.05337205688582,4.18264332704405,-2.07188434405194,-4.13477700058108,4.13477700058109,-0.472127382647395,-0.474042745522661,2.06403003270967,0.343460987644692,-0.812330915610067,3.30289610569654,-3.22938733462672,4.2784273136652,-3.27215998473148,-35.3874998897403,-51.0264211081834,25.2586938515532,4.57726722021662,2.21779804947493,1.68551681422121
"Buckeye",-2.53725872255722,-2.84080065094766,4.14754566662412,-2.14977846971441,-2.49629171085604,2.49629171085604,-0.479930498847121,-0.628934160834714,0.538026608658353,0.474529569747941,1.94141213820966,2.83042188740068,-2.83553909716401,4.73232183510628,-2.99712273562701,-37.0773126352845,-53.2271193391068,30.3555568048021,2.93904240239389,0.336778602631781,2.54888359586186
"C10",-0.483183554979794,-2.46026404176928,3.77413867785672,-2.15024321038222,-3.18605554050822,3.18605554050823,-1.26667048663056,-0.441536716081813,2.09364843203018,0.322185496870408,1.93632834712081,3.97214344993487,-2.09929195288561,3.36613954316298,-2.67043475894308,-37.3815465874551,-55.2052365361823,30.5792605049131,4.36632669351557,0.501824440458558,3.20243577858908
"C11",-0.367041491576119,-2.72852280133912,4.96205748821132,-3.15838883849774,-4.5788826499248,4.5788826499248,-1.86875142396286,0.266611765643514,2.82026949028861,0.298684389735613,0.38552578656803,3.82557821349252,-2.24541476679133,3.35233513048909,-2.95204568981375,-40.475421689823,-60.985510590235,34.0126753480918,3.92337429575234,-0.716528222926319,3.39742755832819
"C13",-0.210923358307354,-1.66913930124449,3.50465650620396,-2.55600057023599,-3.27595206370264,3.27595206370265,-2.13488710314791,0.50757331893585,2.05354057071329,0.342214631153656,1.86130906096151,4.1221666038018,-2.02992757001411,1.74450444954855,-1.93240604920987,-38.0236098079636,-53.4900873213539,25.3850724311912,4.78947016414942,0.708180066789713,3.14860209193214
"C5",-3.33678474248679,-3.1138801233556,5.17593505338042,-3.10747234013371,-4.01402503890766,4.01402503890767,-2.42750251659042,1.49359401289186,0.391607745038963,0.907353465959807,2.21292360666185,3.37865619927051,-2.06278265443566,2.95108247583634,-3.04331690704708,-27.2745693575522,-55.392857746075,36.986873437044,4.6098271510245,-1.4642061468486,3.60747102726426
"C6",-2.2659741238001,-2.02087572703318,4.16005216902954,-2.80236554327448,-4.126849693419,4.126849693419,-1.82255579959823,1.10857580223379,-0.522195241928413,0.339885012116255,3.24450516196379,1.68685763498873,-1.91999418255948,4.08698331632132,-2.23935479661356,-35.2820348109181,-50.9859859631132,26.8569953122449,3.49051718452906,-1.92029846061952,4.54162982202921
"C69",-2.00422673731254,-3.55394539550265,5.11163621271352,-2.87700977821014,-3.14158500050112,3.14158500050112,-2.0916582167068,1.02575336470294,0.829909927493426,0.0456311595513025,2.55676906419724,4.11311007449955,-0.630204149706371,2.35926207526823,-3.69922705261374,-34.5934611018634,-59.3187765598578,37.2828323259706,3.07193243952427,0.609388088495513,1.58696515501696
"C7",-2.13797620379893,-2.98138680668198,4.95387066229232,-3.01082635950741,-4.75049080452875,4.75049080452875,-2.60405088167796,1.10427646012816,1.56478355249104,1.23968710088679,1.32193180109949,2.74793155308157,-2.36513264062018,5.21857947311149,-3.22549338756205,-35.2482373341176,-57.9790727904359,32.9457462399574,3.58850494713324,-1.33877869778461,3.10907375153069
