plant,species,time,number,time,neigh,trt
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.FA.t1,1,EARLY,FA,t1
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.FA.t1,3,LATE,FA,t1
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.FA.t4,2,EARLY,FA,t4
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.FA.t6,1,EARLY,FA,t6
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.FA.t8,1,LATE,FA,t8
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.GL.t6,5,LATE,GL,t6
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.HO.t2,1,EARLY,HO,t2
White.Sweet.Clover,Anthidium.oblongatum,LATE.HO.t4,1,LATE,HO,t4
Birdsfoot.trefoil,Anthidium.oblongatum,EARLY.SV.t6,1,EARLY,SV,t6
Birdsfoot.trefoil,Anthidium.oblongatum,LATE.SV.t6,2,LATE,SV,t6
Everlasting.Pea,Apis.mellifera,EARLY.BU.t1,1,EARLY,BU,t1
Red.Clover,Apis.mellifera,EARLY.BU.t1,3,EARLY,BU,t1
Chicory,Apis.mellifera,LATE.BU.t1,1,LATE,BU,t1
Chicory,Apis.mellifera,EARLY.BU.t2,2,EARLY,BU,t2
Red.Clover,Apis.mellifera,EARLY.BU.t2,5,EARLY,BU,t2
Narrow.leaf.plantain,Apis.mellifera,EARLY.BU.t4,2,EARLY,BU,t4
Red.Clover,Apis.mellifera,EARLY.BU.t4,6,EARLY,BU,t4
White.Clover,Apis.mellifera,EARLY.BU.t4,1,EARLY,BU,t4
White.Sweet.Clover,Apis.mellifera,EARLY.BU.t6,9,EARLY,BU,t6
Yellow.Sweet.Clover,Apis.mellifera,EARLY.BU.t6,6,EARLY,BU,t6
Bull.Thistle,Apis.mellifera,LATE.BU.t6,2,LATE,BU,t6
Queen.Annes.Lace,Apis.mellifera,EARLY.BU.t8,1,EARLY,BU,t8
Red.Clover,Apis.mellifera,EARLY.BU.t8,1,EARLY,BU,t8
Red.Clover,Apis.mellifera,EARLY.CE.t4,1,EARLY,CE,t4
Chicory,Apis.mellifera,EARLY.CE.t6,1,EARLY,CE,t6
White.Sweet.Clover,Apis.mellifera,EARLY.CE.t6,4,EARLY,CE,t6
Red.Clover,Apis.mellifera,EARLY.DS.t1,1,EARLY,DS,t1
Canadian.Thistle,Apis.mellifera,EARLY.DS.t4,5,EARLY,DS,t4
Narrow.leaf.plantain,Apis.mellifera,EARLY.DS.t4,8,EARLY,DS,t4
Red.Clover,Apis.mellifera,EARLY.DS.t4,2,EARLY,DS,t4
White.Clover,Apis.mellifera,EARLY.DS.t4,5,EARLY,DS,t4
Canadian.Thistle,Apis.mellifera,LATE.DS.t4,1,LATE,DS,t4
Red.Clover,Apis.mellifera,LATE.DS.t4,1,LATE,DS,t4
Canadian.Thistle,Apis.mellifera,EARLY.DS.t6,2,EARLY,DS,t6
Red.Clover,Apis.mellifera,EARLY.DS.t6,2,EARLY,DS,t6
Narrow.leaf.plantain,Apis.mellifera,EARLY.DS.t8,1,EARLY,DS,t8
Red.Clover,Apis.mellifera,EARLY.DS.t8,3,EARLY,DS,t8
White.Clover,Apis.mellifera,EARLY.DS.t8,2,EARLY,DS,t8
Narrow.leaf.plantain,Apis.mellifera,EARLY.FA.t1,1,EARLY,FA,t1
Red.Clover,Apis.mellifera,EARLY.FA.t1,4,EARLY,FA,t1
Chicory,Apis.mellifera,EARLY.FA.t6,1,EARLY,FA,t6
Red.Clover,Apis.mellifera,EARLY.FA.t6,4,EARLY,FA,t6
Narrow.leaf.plantain,Apis.mellifera,EARLY.FA.t8,2,EARLY,FA,t8
White.Sweet.Clover,Apis.mellifera,EARLY.GL.t4,1,EARLY,GL,t4
Alsike.Clover,Apis.mellifera,EARLY.GL.t6,4,EARLY,GL,t6
Red.Clover,Apis.mellifera,EARLY.GL.t6,1,EARLY,GL,t6
White.Clover,Apis.mellifera,EARLY.GL.t6,2,EARLY,GL,t6
Red.Clover,Apis.mellifera,EARLY.GL.t8,1,EARLY,GL,t8
White.Clover,Apis.mellifera,EARLY.GL.t8,1,EARLY,GL,t8
Red.Clover,Apis.mellifera,EARLY.HO.t4,2,EARLY,HO,t4
Red.Clover,Apis.mellifera,EARLY.HO.t8,1,EARLY,HO,t8
White.Clover,Apis.mellifera,EARLY.HO.t8,3,EARLY,HO,t8
Narrow.leaf.plantain,Apis.mellifera,LATE.HO.t8,1,LATE,HO,t8
Queen.Annes.Lace,Apis.mellifera,LATE.HO.t8,9,LATE,HO,t8
Narrow.leaf.plantain,Apis.mellifera,LATE.SV.t4,1,LATE,SV,t4
Chicory,Apis.mellifera,EARLY.SV.t6,1,EARLY,SV,t6
Narrow.leaf.plantain,Apis.mellifera,EARLY.SV.t6,1,EARLY,SV,t6
White.Clover,Apis.mellifera,EARLY.SV.t6,1,EARLY,SV,t6
Red.Clover,Apis.mellifera,EARLY.TR.t1,2,EARLY,TR,t1
Chicory,Apis.mellifera,EARLY.TR.t2,2,EARLY,TR,t2
Red.Clover,Apis.mellifera,EARLY.TR.t4,5,EARLY,TR,t4
Red.Clover,Apis.mellifera,EARLY.TR.t6,1,EARLY,TR,t6
White.Clover,Apis.mellifera,EARLY.TR.t6,2,EARLY,TR,t6
Canadian.Thistle,Apis.mellifera,EARLY.TR.t8,3,EARLY,TR,t8
Chicory,Apis.mellifera,EARLY.TR.t8,2,EARLY,TR,t8
Red.Clover,Apis.mellifera,EARLY.TR.t8,5,EARLY,TR,t8
Thistle,Apis.mellifera,EARLY.TR.t8,2,EARLY,TR,t8
Narrow.leaf.plantain,Augochlora.pura,LATE.BU.t1,1,LATE,BU,t1
Field.Bindweed,Augochlora.pura,EARLY.CE.t8,1,EARLY,CE,t8
Bindweed,Augochlora.pura,LATE.CE.t8,1,LATE,CE,t8
Fleabane,Augochlora.pura,EARLY.FA.t6,1,EARLY,FA,t6
Red.Clover,Bombus.bimaculatus,EARLY.BU.t1,1,EARLY,BU,t1
Red.Clover,Bombus.bimaculatus,EARLY.BU.t4,1,EARLY,BU,t4
Chicory,Bombus.bimaculatus,EARLY.CE.t2,1,EARLY,CE,t2
Chicory,Bombus.bimaculatus,EARLY.CE.t4,1,EARLY,CE,t4
Chicory,Bombus.bimaculatus,EARLY.CE.t8,1,EARLY,CE,t8
Canadian.Thistle,Bombus.bimaculatus,EARLY.DS.t6,1,EARLY,DS,t6
Narrow.leaf.plantain,Bombus.bimaculatus,EARLY.DS.t8,1,EARLY,DS,t8
Queen.Annes.Lace,Bombus.bimaculatus,EARLY.FA.t1,1,EARLY,FA,t1
Chicory,Bombus.bimaculatus,EARLY.FA.t8,1,EARLY,FA,t8
Red.Clover,Bombus.bimaculatus,EARLY.GL.t6,2,EARLY,GL,t6
Narrow.leaf.plantain,Bombus.bimaculatus,EARLY.GL.t8,1,EARLY,GL,t8
Red.Clover,Bombus.bimaculatus,EARLY.GL.t8,1,EARLY,GL,t8
Red.Clover,Bombus.bimaculatus,EARLY.SV.t8,1,EARLY,SV,t8
Red.Clover,Bombus.bimaculatus,EARLY.TR.t1,1,EARLY,TR,t1
Hollyhocks,Bombus.bimaculatus,EARLY.TR.t6,1,EARLY,TR,t6
Red.Clover,Bombus.fervidus,EARLY.CE.t4,1,EARLY,CE,t4
Red.Clover,Bombus.fervidus,LATE.DS.t8,2,LATE,DS,t8
Red.Clover,Bombus.fervidus,EARLY.FA.t6,1,EARLY,FA,t6
Red.Clover,Bombus.fervidus,EARLY.HO.t1,1,EARLY,HO,t1
Red.Clover,Bombus.fervidus,LATE.HO.t4,5,LATE,HO,t4
Red.Clover,Bombus.fervidus,EARLY.TR.t1,2,EARLY,TR,t1
Red.Clover,Bombus.griseocollis,EARLY.BU.t4,1,EARLY,BU,t4
White.Clover,Bombus.griseocollis,EARLY.BU.t4,1,EARLY,BU,t4
Chicory,Bombus.griseocollis,EARLY.CE.t2,1,EARLY,CE,t2
Common.Milkweed,Bombus.griseocollis,EARLY.CE.t2,1,EARLY,CE,t2
Red.Clover,Bombus.griseocollis,EARLY.CE.t4,1,EARLY,CE,t4
White.Sweet.Clover,Bombus.griseocollis,EARLY.CE.t6,2,EARLY,CE,t6
