"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne"
"BU1",1.96879902049124,-2.36580064116311,3.46020010458645,-2.13705119522431,-2.78729786161153,2.78729786161153,-3.66729665669299,1.19707965346187,3.47071735489095,1.43499562987674,0.729132726101832,1.8048377868788,-0.26494965434509,1.09152291404255,-2.59272900440617,-19.7090356289468,-25.1161909244375,19.8964309945532,-0.36002079578166,1.00043079075442,-1.35102524675751,2.16204650636523
"CE1",-0.474498776018147,-1.87265815970075,2.80389272274964,-1.67373682356631,-2.49741874440203,2.49741874440203,0.272238718587039,0.0808061649564939,0.714717476227251,-0.838187353938479,-1.01342583131245,1.11896291562169,-0.225801220845592,1.80218271139497,-2.02795632623861,-16.6713101216907,-21.6730373076062,18.6253855850682,-0.894992184176086,0.0423452447107478,-1.90343234630574,1.14732355662042
"DS1",0.709712261970184,-1.75409217711903,2.50037120263317,-1.45294566507016,-0.340696226475969,0.340696226475969,-0.327607528372236,-1.28115796167999,3.14907643344089,-0.773988068396658,0.33165562923949,-0.43772948269574,-1.55764629404454,3.07348147167551,-1.88600564227615,-14.7628464164794,-21.542919325092,18.5761560663013,-1.02086320232961,2.77852391837955,-0.629796510141787,2.81821314118854
"FA1",-0.393110289271279,-2.16516095364559,3.15126456967837,-1.91930223095535,-4.21151107517125,4.21151107517125,-3.0408780615396,1.43603780606069,3.09101291587556,0.373147150225532,-0.0162815148419945,1.53635823196453,-0.482018792074322,2.21099028450875,-2.3558367858397,-21.8459241952166,-26.4930640208991,23.5691367161648,0.920284914511694,2.120090593871,-0.389757470099148,2.81310800572539
"GL1",-0.815666045034933,-1.06579429167706,1.99121629413513,-1.58552296305526,-1.88767660751289,1.88767660751289,-0.148583620782552,0.382173500500745,-1.16842198070106,-0.745243461821613,1.59463286625212,0.461163037834141,0.260462901703964,-0.324672982844887,-1.29558479591657,-11.4639723406343,-16.6619755093274,14.5154695230308,-0.516701991309182,0.45935749362463,0.355115437247679,0.2395581582551
"HO1",-0.517685353115963,-1.33562526889416,2.35788930904026,-1.73024753402086,-1.45840897727374,1.45840897727374,-0.315776609122389,-0.260486747083876,0.575844694530164,2.05597643135252,-1.0859465173359,1.76609386068409,-1.6498483509107,1.49458794257865,-1.54509763251552,-18.954994356057,-23.6797443292848,21.2744943946807,-0.857627964797311,1.47765147724468,1.22031152480475,0.795676837364588
"SV1",-0.695992789953885,-1.36668935043001,2.77393872975127,-2.26466374190441,0.141169208392754,-0.141169208392757,-0.764808540400633,0.0799752522966441,0.780854604179224,0.111539302128149,0.631959253485847,1.58141615683336,-1.79934113185823,1.83412111211774,-1.64070652913046,-14.0147997812075,-18.9873279840348,13.5113389007055,-1.52400142562126,3.29172984669053,1.13531311537041,1.39542135908188
"TR1",0.0920056924712244,-2.47277179070506,2.65500204404001,-0.892266904462534,-2.44076733202619,2.44076733202618,-1.08342626691967,-0.0178765461328431,1.56115045423254,0.0953737438946148,0.667335675030362,2.25774125982155,-0.60361454625826,1.27571030766992,-2.72556062567043,-22.1509492445077,-28.986666766794,22.6032723466959,0.308190421618782,1.10367733752377,-1.25267659560801,1.87837816402603
"BU6",-0.21044148211075,-2.30339126394501,2.7973784552438,-1.32176033284558,-4.25719589975769,4.25719589975769,-2.67555708907218,1.45149199692999,1.0133539348139,0.280425400363479,1.8124858463078,0.422219098368219,1.13069696815252,0.769611294274354,-2.58904039812045,-19.2642138634197,-23.8570970622196,19.3209185930229,0.942089512232794,0.934722377184988,-1.64947086457702,2.44309394121286
"CE6",-0.559533342810046,-2.31155060112615,3.36021805868118,-2.09923053883071,-4.37510720177407,4.37510720177407,-1.47293634897064,1.53353049279844,1.89018990236612,-1.08301172136105,-1.22322206738358,1.25450972643716,-0.259848490361607,1.69049474831587,-2.51458673484102,-21.8326732869145,-26.7208971858768,20.4265495501398,0.495391908264991,1.06891706261653,-1.15679363271296,2.24503612086318
