"","Row.names","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne","trmt","pland","lpi","enn","site"
"1","47thStGarden",-1.1229111295301,0.180846736569318,-1.00564164996447,1.29303716282717,0.943785959953388,-0.943785959953389,2.79123278376726,-2.16604529286256,-0.957032165110283,-0.2251667232902,-0.667126201185713,0.310433474145091,-0.11851574240432,0.450538330286531,-0.161059606834859,5.62463788818344,2.92073240711053,-2.92923439578356,-1.13620852102266,4.74811859525087,3.01474292441806,2.96663977550477,"Farm",35.97,1.06,6.133,"47thStGarden"
"2","BluePike",-0.0718905117520155,-2.5572334934193,2.0429564556205,0.0146081499818238,-1.0595175221318,1.05951752213179,1.45722064146978,-1.89150060601504,1.86012109098578,-0.0627278899682169,-1.48051461875895,1.94635947264303,-2.42789089570251,2.75845391314775,-2.78793429036934,3.51667389059083,0.827456446076153,-0.812752212025556,-1.06421510504393,4.92652799366269,3.77878201456446,2.93289051112008,"Farm",35.84,1.1,5.8704,"BluePike"
"3","BU1",2.39817415015388,-2.30785945673736,3.3087033594955,-1.9810193151111,-2.20092119385851,2.20092119385851,-3.41383445980912,1.02620811262659,4.00414058807496,1.24282789127196,0.499788145647804,1.47127341835901,0.00996594795826932,0.859167680147807,-2.49201730672565,2.92884752201009,0.505860399025407,-0.0966898428416439,-0.482036430791467,4.72703669150353,0.358378214112711,6.05951538086297,"T1",50.76,1.65,5.144,"BU1"
"4","BU8",-1.49425566461006,-1.90128416589303,2.59770760420699,-1.51487749335938,-2.75411884458254,2.75411884458254,-3.09969554409071,2.58531097795569,1.08115446167748,0.516941622119269,0.0547119325920249,1.79461057291918,0.415782931131098,-0.749195429644468,-1.32121554065891,3.82081265257756,1.02412491987395,-1.39622926765145,-0.273072998499611,2.54517581798309,1.67234793396321,1.95544101176927,"T8",47.9939,1.6529,5.1078,"BU8"
"5","Buckeye",-1.30771563260405,-2.32189556733578,2.25114194593531,-0.464140030796546,-0.214794141037297,0.214794141037295,1.27791114819445,-1.86390619142818,0.270339039212149,0.113251122668301,0.547395697957834,1.54103699004908,-2.15684951198032,3.4191904047922,-2.49739602097911,3.50063385840298,1.26659050702462,-1.1478700678159,-1.87590034043565,3.6547072191252,1.77848722161939,3.52074101592845,"Farm",45.44,2.54,5.6355,"Buckeye"
"6","C10",0.761813811953814,-2.00543091485425,1.68917048165293,0.0208861200738272,-0.530396003764133,0.53039600376413,0.708983878410992,-1.96375171770399,1.84847203441826,-0.107272436320255,0.345173203608883,2.5808316619734,-1.18815310976077,1.79785306414773,-2.25142521892228,3.15867189909476,0.5419744065399,-0.701207245957502,-0.239858683944928,4.23711899413243,2.45673645742273,3.13869625613064,"Control",41.73,1.1,5.9179,"C10"
"7","C11",1.04117831212183,-2.20612030413101,2.78508445597214,-1.51699989886383,-1.55524234415758,1.55524234415759,0.331274490332374,-1.21985483687236,2.64141274489946,-0.251597119262765,-0.69645694225248,2.22508555084407,-1.31108396023989,1.96834237657787,-2.42872709617154,2.09665616427823,-1.25586671379925,0.962299990898973,-0.528810000827493,4.19707944418511,1.08519351528502,3.47949834139513,"Control",46.19,1.16,5.4625,"C11"
"8","C13",1.11959654132438,-0.797955779846518,1.12315579686935,-0.671554690315307,-0.554203533595234,0.55420353359523,-0.174411467361703,-0.848020610600383,1.8358874984172,-0.10036370162586,0.307504066815942,2.54547990024726,-1.13230623058046,0.248768699649509,-1.09693429125196,2.27895425341161,-0.557603544250605,0.525260141552724,0.172032502328914,4.67374393338292,3.17326533310201,3.14032570849776,"Control",47.88,1.23,6.0156,"C13"
"9","C5",-1.8649240075689,-2.59304550868226,2.84793262181721,-1.02652134346007,-0.947273371824154,0.947273371824153,-0.0246321633000842,-0.305182339648028,0.0624918260441063,0.284758812133323,0.392908716975115,1.77464219432364,-0.855588512551631,1.17059672874304,-2.48411018762759,7.11490749149528,-0.693324320838205,0.486815580381108,-1.66013581642955,3.52034945435924,0.252992321241793,2.95465600786316,"Control",39,2.36,5.4625,"C5"
"10","C6",-0.940735042673035,-1.34137612652931,2.0041044470647,-1.39708214809648,-1.2906946821367,1.2906946821367,0.00455460783006395,-0.284567018473468,-0.725614025689214,-0.0674030869394646,1.29327185002739,0.530034102051798,-0.992172759076621,2.48281370977722,-1.59969263957235,3.98592679961937,1.6636453060503,-1.60479398906211,-1.01207905963002,3.33735453069527,-0.593854985050735,4.82777695468569,"Control",49.3,1.65,4.9172,"C6"
"11","C69",-0.608327913551976,-3.0904822471827,2.88048784474025,-0.516299630125405,-0.46111154763408,0.461111547634079,0.105873878723566,-0.568655445033308,0.483545543221368,-0.47266879819328,0.821433313438393,2.47447221208375,0.725144150097757,0.749626874558453,-3.35404195315302,4.39861440450792,-0.49463782898643,0.346857020969275,-1.52560136937395,3.61043471442731,1.72947829200128,2.35630523912829,"Control",38.68,1.94,6.4296,"C69"
"12","C7",-0.786886358641228,-2.46706218814857,2.78461674440244,-1.16448122516788,-1.66215004024859,1.66215004024859,-0.464104690365875,-0.471327204300923,1.36935559800539,0.661761156204131,0.0100129171826229,1.23838583272655,-1.39885299562904,3.56149953452603,-2.69383465521774,4.22900814774585,-0.461030788796186,0.601407653443815,-0.710229580505805,3.16013085616246,-0.0730057335252476,3.08673025681998,"Control",49.26,1.65,4.8092,"C7"
"13","C8",-0.851590423185676,-1.75738050793107,2.49762236608157,-1.43194595018837,0.916085623063019,-0.916085623063017,1.08368124924656,-2.74625739248983,2.43424781182146,0.636136696871275,0.183325575041601,2.86274941186481,-4.42719018628061,4.82433042157925,-1.89277651207698,3.21741031007453,-0.460317427246353,0.699875174152857,-2.760858363444,6.72309341911333,0.236980897824189,6.37979473326033,"Control",48.07,1.5,5.4713,"C8"
"14","C9",1.41226416496226,-2.63424098415296,2.15544056028008,-0.0123297598646079,-0.295378532690152,0.295378532690149,-1.08143962460217,0.404139629457932,1.98038214809588,-0.502245484259841,-0.14613119330458,1.6636354799258,-0.0700699883925593,1.49424003925905,-2.96041148510595,4.93598577001181,-0.335031927967428,0.157690073885694,-0.485253109321785,3.53933042483197,0.660093697996775,2.83428610666153,"Control",49.33,1.5,5.5483,"C9"
"15","CE1",-0.283691578771816,-1.82580871968529,2.55806872129031,-1.48069823692812,-1.95684665344847,1.95684665344846,0.406227239765947,-0.104753818654169,1.03749601954552,-0.901927208433524,-1.10325837794881,0.886159007081992,-0.041766283892876,1.74672948434849,-1.98979590473438,2.99234493606503,-0.114173411810113,-0.0128375928373261,-1.11288411452735,2.12837275528666,0.0885439381298121,2.09531368676314,"T1",26.34,0.63,7.5233,"CE1"
"16","CE8",0.127782384023862,-2.09440986545584,2.80173856326727,-1.64419830066349,-0.726329129061845,0.726329129061844,-1.67701616634904,0.371870862030894,2.77012765211023,0.293207987496615,-0.140094345355897,0.592920542194378,-0.0631015798376877,1.62446240557483,-2.25445715579444,2.39437975274604,-0.308597005956061,0.285251344540156,-0.52707836836038,6.05601983175964,1.1826727630324,6.38551840564641,"T8",26.6432,0.6349,7.467,"CE8"
"17","DS1",1.18858601630892,-1.65476595284056,2.17008662833421,-1.31814021466402,0.0158034825888893,-0.0158034825888893,-0.271013220916282,-1.39572007955463,3.65076447227795,-0.7913998791374,0.302759436967912,-0.507640055120923,-1.46455330432424,2.88003117481244,-1.80425579283108,3.34300008923156,-0.442414724186063,0.64125372223299,-1.08714827290295,3.72256389328844,0.823029899257896,3.29249515458345,"T1",40.73,1.42,4.7644,"DS1"
"18","DS8",1.6059511636323,-1.58194588419111,2.18309367932156,-1.28580795313196,-2.57239717469345,2.57239717469345,-1.57575355831527,-0.644816096946283,4.86205701581473,0.715077285665092,-0.930147657444761,1.42835868966982,-1.76879190669985,2.51384799251228,-1.71487958930644,2.8633152653913,-1.36326134657269,1.05471295598177,0.62796856907534,2.57786762303799,-0.870593075348562,2.69451481017707,"T8",39.4449,0.8925,5.6614,"DS8"
"19","Esperanza",0.579092726889391,-2.26358296437623,2.10988577747045,-0.395406405082026,-0.966366570263728,0.966366570263728,-0.194868887257138,-0.299860300162636,1.30455378160705,0.0803963673134076,-0.373740325265692,1.63171671385165,-0.687720147489617,1.96501433718706,-2.44868057555495,1.5683433235348,-1.0262035082243,1.27941028062439,-0.735400271186483,3.25722082674459,1.49065979588399,3.17943673857624,"Farm",38.18,1.48,6.2342,"Esperanza"
"20","FA1",-0.0551550098430894,-2.13305012372128,2.95614246341331,-1.80190596295591,-3.59878637888868,3.59878637888868,-2.73561300039188,1.23692048860628,3.67668429647454,0.258706478383711,-0.199529212425428,1.27975769762889,-0.290821558669868,2.10882891245691,-2.35219287179693,2.48655951752015,-0.0463071493403205,-0.254866536847065,0.559037272658694,5.40829723910835,2.74594473842595,4.72897362217162,"T1",41.33,1.71,7.1896,"FA1"
