"","bl","lec","nest","soc","ori"
"Nomadaimbricata",2.35137525716348,0,1,4,0
"Nomadaluteoloides",2.23001440015921,0,1,4,0
"Nomadamaculata",2.35137525716348,0,1,4,0
"Nomadapygmaea",2.12584791449399,0,1,4,0
"Osmiaatriventris",2.16905370036952,1,2,2,0
"Osmiabucephala",2.7408400239252,1,2,2,0
"Osmiacaerulescens",2.37490575457367,1,2,2,1
"Osmiageorgica",2.22462355152433,1,2,2,0
"Osmiapumila",2.16905370036952,1,2,2,0
"Osmiasubfasciata",2.14006616349627,1,2,2,0
"Osmiataurus",2.4932054526027,1,2,2,1
"Peponapispruinosa",2.61227324570844,2,1,2,0
"Pseudoanthidiumnanum",2.14006616349627,1,2,2,1
"Sphecodesatlantis",1.88706964903238,0,1,4,0
"Sphecodescoronus",1.79175946922805,0,1,4,0
"Sphecodescressonii",1.83258146374831,0,1,4,0
"Sphecodesmandibularis",2.07317192866624,0,1,4,0
"Sphecodesminor",2.05412373369555,0,1,4,0
"Stelislouisae",2.19722457733622,1,2,4,0
"Triepeoluslunatus",2.484906649788,0,1,4,0
"Triepeolusremigatus",2.70805020110221,0,1,4,0
"Xylocopavirginica",3.04452243772342,1,5,1,0
