"","Row.names","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne","trmt","pland","lpi","enn","site"
"1","47thStGarden",-1.10098938914257,0.100737872052817,-0.926742025061346,1.19483812787926,0.727751372754982,-0.727751372754983,2.72350007079875,-2.03621181446311,-0.933021573842292,-0.193991545834504,-0.728031623972369,0.342169517432967,-0.0693736548046209,0.435762525428354,-0.242372257172567,5.69449929497974,2.98155793680576,-3.05499021029564,-1.10278782900235,4.75926192012901,2.94475693087982,2.97445669585917,"Farm",35.97,1.06,6.133,"47thStGarden"
"2","BluePike",-0.127894264021571,-2.58656976538558,2.141792740139,0.00431000907120495,-1.27613205599135,1.27613205599135,1.53473259590332,-1.82948361914523,1.84182666715221,-0.0826543136685724,-1.57155194864605,1.85315530069115,-2.35514846239378,2.76480526614425,-2.73845558247993,3.41098013425279,0.801758715103276,-0.744515619741359,-0.996991746773262,4.86825680475011,3.82917361475806,2.97641013848504,"Farm",35.84,1.1,5.8704,"BluePike"
"3","BU1",2.4709637367105,-2.29685925391914,3.14304092242237,-1.93252306017548,-2.32027510351602,2.32027510351602,-3.51691717689296,1.03059167797842,3.92719763676589,1.25427643424082,0.473577020211759,1.54301932244302,0.0782834581850523,0.706528480475416,-2.51564318201321,2.76194579554737,0.421050323096393,-0.0349440719804163,-0.414187589634884,4.79137658331209,0.398686241434881,6.22460801141119,"T1",50.76,1.65,5.144,"BU1"
"4","BU8",-1.49846242825303,-1.806661107377,2.49369265395945,-1.49674818392144,-2.82322392949324,2.82322392949324,-3.2548572456966,2.75972629067118,0.981343269539236,0.486978405089571,0.0616033850368481,1.68189681479125,0.515298644363474,-0.777024599264213,-1.2548571148963,3.72208640968989,0.937868754709092,-1.31218832277817,-0.223826244571044,2.83857026590033,1.77876306176675,2.17888046822815,"T8",47.9939,1.6529,5.1078,"BU8"
"5","Buckeye",-1.32639926278389,-2.37860113922357,2.20182628083164,-0.4336267484427,-0.406203690483552,0.40620369048355,1.21668341215958,-1.78729877078304,0.298403668496391,0.0799517615232889,0.470705647675069,1.49387820916896,-1.99396017088419,3.22297892699723,-2.49407011619884,3.39122021635778,1.18580553597841,-1.00532641230891,-1.74863498185132,3.62426066057073,1.5734562720452,3.75631568478565,"Farm",45.44,2.54,5.6355,"Buckeye"
"6","C10",0.798879292148252,-2.01818199385022,1.63287382844993,0.0149597523656185,-0.688304193612772,0.688304193612767,0.585731392753935,-1.75335490940805,1.84938521659548,-0.0675216211137785,0.376244516240778,2.54238356184799,-1.07578107888204,1.77921670094059,-2.25019832007148,3.15812539169139,0.559835498351909,-0.75054313944666,-0.131995251289013,4.10878300061606,2.26201039968185,3.17358505148184,"Control",41.73,1.1,5.9179,"C10"
"7","C11",0.965152445965824,-2.2385955103984,2.86007573790096,-1.5837452472187,-1.72552080583442,1.72552080583442,0.322613771014164,-1.24239490492668,2.59639041411735,-0.198399502654632,-0.748147312968088,2.26105251516089,-1.24943500695369,2.01777184958855,-2.44016793336973,2.27238405901696,-1.27571775647607,0.979275706412934,-0.47792377764228,4.00696026347864,1.09202182675922,3.49364207620466,"Control",46.19,1.16,5.4625,"C11"
"8","C13",1.13451618366643,-0.816783603034121,1.132650514369,-0.698827623369008,-0.665648444535165,0.665648444535161,-0.176214465840057,-0.866266636964699,1.82083462894753,-0.0915500595995357,0.300470670318979,2.56335118516984,-1.11205531465293,0.250299587312602,-1.0857835427407,2.17503116490422,-0.620484530004489,0.585591785125776,0.199082291644987,4.66629901241115,3.03338280632274,3.09939185998279,"Control",47.88,1.23,6.0156,"C13"
"9","C5",-1.80903152719976,-2.50674236241175,2.64294152049371,-0.933865526194785,-0.633402011591163,0.633402011591164,0.140184819314185,-0.55875368279535,0.115139011778751,0.362288778768746,0.40605717220195,1.89731537514066,-1.0013060444247,1.19230253643085,-2.36621294087761,6.3978644165921,-0.80994922590485,0.580897202294602,-1.6870876163435,3.455080607805,0.241098731900081,2.94921695647548,"Control",39,2.36,5.4625,"C5"
"10","C6",-0.998700791717852,-1.34518235090109,2.10919779201725,-1.36839866995243,-1.38657364533337,1.38657364533337,0.033328706499592,-0.268214780396223,-0.76235527983008,-0.0258366424030135,1.28809109470815,0.568655333793565,-0.928347410317972,2.41610106133388,-1.57038817688107,4.24172077564632,1.77825292990143,-1.71364380540326,-1.00297890968009,3.26245022718791,-0.647227954056612,4.83014326994234,"Control",49.3,1.65,4.9172,"C6"
