"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_falpha","SES_fbsor","SES_fbsim","SES_fbsne"
"47thStGarden",-1.40122944267315,-0.0136854337067877,-0.450644903183637,0.641713089768662,0.665931737098357,-0.665931737098357,2.44735204051224,-1.94540863885636,-1.05640379637063,-0.0813289591995677,-0.538834918129979,0.577234377220574,-0.444401092257173,0.80246093822651,-0.429065114609709,-12.3652423224147,-14.5437468792978,11.6207449968335,-1.34266032914488,-0.407278202252186,0.57286225767057,-0.832953101915046
"BluePike",-0.465423540434633,-2.730971717934,2.46865384957832,-0.371852756924443,-1.53223884640122,1.53223884640122,1.27169593887827,-1.57642178271629,1.40304022445462,0.0219886290568278,-1.40942989535608,2.25404360392705,-2.57286412176293,2.98028286917385,-3.02141286517156,-16.0415199786361,-18.8806233405191,14.6438682562099,-1.13453493649786,1.90508804253834,0.983828253497753,1.05116985549742
"Buckeye",-1.61673165480162,-2.42614683159853,2.45381465060453,-0.757718607357477,-0.582220302922225,0.582220302922222,1.1040190919901,-1.74981249892659,0.100649168203478,0.137415205721811,0.686115339339247,1.71167337534323,-2.30696165840058,3.59650204168042,-2.65254286588777,-14.8463330643102,-19.3523240860919,16.3140077029207,-1.90576580473316,0.519989071287731,-0.15291678057354,0.51546540444842
"Esperanza",0.195406412204823,-2.30947157873656,2.3874493762317,-0.751305290138388,-1.31135684567582,1.31135684567582,-0.408612024505523,-0.0659889203723868,0.969051685936874,0.250446258140417,-0.225965586660795,1.86437715448648,-0.77254932479532,2.06150520733585,-2.48697157765036,-17.4627139428237,-23.0559996971327,20.6358646153457,-0.754097253344841,0.294978899333928,-0.587976195585782,0.540979571253501
"Fairfax",0.339932827713978,-1.76449099393802,2.32770661246783,-1.36643936541232,0.185545391619963,-0.185545391619965,0.384225597556798,-1.66822966099384,1.84803177397498,-0.0964192232165461,0.346949356050549,2.57285256967015,-2.31788729823088,2.05493062967441,-2.06778661737308,-19.067974327481,-22.0466263589756,19.1236506454665,-1.11234549899199,-1.46330350878518,-1.25941611571781,-0.268524855912047
"LonnieBurten",-0.839827473746983,-1.01152186363446,1.6426939247444,-1.1166878935303,-0.214182531760273,0.214182531760274,0.216416765316855,-1.25494570344471,0.56397644937927,1.15791474451043,0.534582546861429,2.73895162498741,-2.76225591256118,1.96075921843575,-1.35174081436806,-15.2323537433378,-17.8456525147728,14.1743446210141,-0.73088547039437,-1.19065111867728,-0.577861180870894,-0.653232518303202
"Midtown",0.844029895105707,-2.91848129852012,2.7384730067781,-0.567630840228754,0.00937655249910438,-0.00937655249910626,-0.260698117347478,-0.331962004736603,1.36648223084172,-0.405031912729121,-0.0351725698465238,1.85720428285942,-1.04863822614277,2.47141228626851,-3.28634755969872,-15.6712779425239,-20.9113815546752,18.5715604264118,-1.0428554062443,-0.357047930991961,-1.16657158754245,0.638391747070105
"SlavicVillage",0.252944681156262,-1.65762488504898,1.82421737509801,-0.676271309813084,-1.21846241674962,1.21846241674963,-0.130599996355317,-1.15803802365877,0.439570407132072,1.01272162356698,1.28456381462357,2.49121208622453,-1.34766995666738,1.64267830376525,-2.00056536757548,-17.7163342979804,-20.4378745927931,17.6964825083827,0.515263573206389,0.0778082608875004,-2.27399831429286,1.73199817462548
"C10",0.429437805755445,-2.12961959047563,2.00097278575219,-0.394135266894729,-0.802760337095064,0.802760337095061,0.452303174699858,-1.52631052989462,1.58306251213228,-0.0264093845177732,0.510643967880508,2.85050722636657,-1.33998263654638,2.10498912790623,-2.36989602040954,-15.4525573018819,-18.1861927406041,14.8528366121769,-0.363915086403414,-0.521039275214125,-0.187204335092589,-0.329152973482094
"C11",0.601836915523769,-2.2400162205876,3.15864144572428,-1.80928800077775,-1.92566542170849,1.92566542170849,0.104467520623857,-1.00686794863281,2.1237076141679,-0.117103746607232,-0.559930685188545,2.61418096916272,-1.52557682497016,2.17783870127163,-2.50329684382255,-18.9054586441049,-21.6178668435038,18.2532838314971,-0.528602888012728,-1.15827201529608,-0.417139316208157,-0.686433769208993
"C13",0.677617600259457,-0.860065197671394,1.47579537158692,-1.04711182810187,-0.872554174815304,0.8725541748153,-0.350869463609825,-0.695967665746191,1.44268906385376,0.0600875079593059,0.539186900286033,2.80811223713868,-1.31149667448999,0.594057650125323,-1.19010082211487,-16.9855083440884,-19.8893241310751,16.2068657433281,0.0197689705004797,-0.314888378965078,0.538853196068647,-0.630116816642351
"C5",-2.27616661917104,-2.63630626973556,3.19833184850765,-1.47988231497873,-1.34448115693308,1.34448115693307,-0.286127586164939,-0.0289519674506638,-0.292027148140587,0.545770239051705,0.649800258057002,2.22474565384048,-1.20839779827771,1.45264592716118,-2.52359354790875,-12.8323234023452,-20.1569233547713,18.3050235547296,-1.69731350139082,-0.400705809836822,-0.163980474836837,-0.138131268129419
"C6",-1.3338969675894,-1.34217543602204,2.16800270764369,-1.59534504087513,-1.55530895927961,1.55530895927961,-0.0980369589514107,-0.131769797371028,-0.872960609320738,0.042945382106879,1.55423070579421,0.779435671132874,-1.24077791833227,2.76098675251936,-1.62107612910367,-13.8563172710566,-16.9231763744755,14.580443444426,-1.06170627203296,-1.72079764608164,-1.4093913338581,-0.607883220025271
"C69",-1.06351072736225,-3.30619502120742,3.29160963578284,-0.969818809478022,-0.811807321382626,0.811807321382624,-0.133532429021539,-0.323237021762753,0.192512421790301,-0.289497990900113,0.972500112325905,2.74131403100964,0.412208992600204,1.15282734552831,-3.51665553572724,-16.2152223722549,-19.9123282799739,16.4864186937376,-1.56880036723679,1.66155139762771,-0.0698823743325023,1.36543223745946
"C7",-1.20226842271955,-2.60134504607973,3.20698229709496,-1.4681947995408,-2.03418362003985,2.03418362003985,-0.602693951299177,-0.267064667365608,0.996315387544805,0.87800459988756,0.147669789802091,1.61113720382805,-1.66789609686445,4.07365138084461,-2.85423817347518,-16.0146499226548,-19.4049328880131,17.1369097229177,-0.78010614831637,-1.57262437153386,-0.809108976473116,-0.690493696498903
"C9",1.01163339388799,-2.67406128910415,2.466355531432,-0.466417261471572,-0.622578360720744,0.622578360720743,-1.29487572957783,0.705743213883405,1.52537357670088,-0.312748377706043,0.0891750945269416,1.96569496143487,-0.407799061754976,1.77669513845829,-3.02231887345819,-15.2089735268483,-19.4235159955922,16.4029230752401,-0.629121666568777,-1.37453710328412,-0.640615109531942,-0.519469509855022
